sku,platform,live_price,mrp,discount %,timestamp
EDF-100,amazon,319.0,319.0,0.0,2026-05-11 06:54:56
EDF-200,amazon,617.0,308.5,-100.0,2026-05-11 06:54:56
EDF-300,amazon,857.0,285.67,-200.0,2026-05-11 06:54:56
EDF-400,amazon,1579.0,394.75,-300.0,2026-05-11 06:54:56
EDF-500,amazon,1299.0,259.8,-400.0,2026-05-11 06:54:56
EDF-600,amazon,319.0,319.0,0.0,2026-05-11 06:54:56
EDS-150,amazon,198.0,132.0,-50.0,2026-05-11 06:54:56
EDS-S-240,amazon,337.0,140.42,-139.99,2026-05-11 06:54:56
EDS-S-480,amazon,679.0,141.46,-379.99,2026-05-11 06:54:56
EDS-S-960,amazon,1199.0,124.9,-859.97,2026-05-11 06:54:56
EDS-400,amazon,474.0,118.5,-300.0,2026-05-11 06:54:56
EDS-800,amazon,939.0,117.38,-699.97,2026-05-11 06:54:56
WI-900,amazon,4369.0,481.7,-807.0,2026-05-11 06:54:56
EDP-400,amazon,1249.0,312.25,-300.0,2026-05-11 06:54:56
EDP-900,amazon,2249.0,249.89,-800.0,2026-05-11 06:54:56
EDPP-400,amazon,999.0,111.0,-800.0,2026-05-11 06:54:56
EDPP-900,amazon,1997.0,221.89,-800.0,2026-05-11 06:54:56
ACLC-200,amazon,1449.0,724.5,-100.0,2026-05-11 06:54:56
ACBL-200,amazon,1449.0,724.5,-100.0,2026-05-11 06:54:56
ACMC-200,amazon,1449.0,724.5,-100.0,2026-05-11 06:54:56
ACU-200,amazon,1446.0,723.0,-100.0,2026-05-11 06:54:56
ACLC-S-60,amazon,449.0,748.33,40.0,2026-05-11 06:54:56
ACBL-S-60,amazon,449.0,224.5,-100.0,2026-05-11 06:54:56
ACMC-S-60,amazon,448.0,746.67,40.0,2026-05-11 06:54:56
ACU-S-60,amazon,445.0,222.5,-100.0,2026-05-11 06:54:56
PRO-KB-907,amazon,3099.0,341.68,-806.99,2026-05-11 06:54:56
PRO-RM-907,amazon,3099.0,341.68,-806.99,2026-05-11 06:54:56
PRO-CC-907,amazon,3039.0,335.06,-807.0,2026-05-11 06:54:56
PRO-MG-907,amazon,3099.0,341.68,-806.99,2026-05-11 06:54:56
PRO-SB-907,amazon,3099.0,341.68,-806.99,2026-05-11 06:54:56
PRO-CM-907,amazon,3039.0,335.06,-807.0,2026-05-11 06:54:56
PRO-BN-907,amazon,3099.0,341.68,-806.99,2026-05-11 06:54:56
PRO-KB-S-216,amazon,3099.0,341.68,-806.99,2026-05-11 06:54:56
PRO-RM-S-216,amazon,3099.0,341.68,-806.99,2026-05-11 06:54:56
PRO-CC-S-216,amazon,3039.0,335.06,-807.0,2026-05-11 06:54:56
PRO-MG-S-216,amazon,3099.0,341.68,-806.99,2026-05-11 06:54:56
PRO-SB-S-216,amazon,3099.0,341.68,-806.99,2026-05-11 06:54:56
PRO-CM-S-216,amazon,849.0,393.06,-116.0,2026-05-11 06:54:56
CREATINE-100,amazon,296.0,296.0,0.0,2026-05-11 06:54:56
EDS-150,flipkart,,,,2026-05-11 06:54:56
