sku,platform,live_price,mrp,discount %,timestamp
EDF-100,amazon,319.0,319.0,0.0,2026-05-15 06:45:36
EDF-200,amazon,617.0,308.5,-100.0,2026-05-15 06:45:36
EDF-300,amazon,857.0,285.67,-200.0,2026-05-15 06:45:36
EDF-400,amazon,1128.0,282.0,-300.0,2026-05-15 06:45:36
EDF-500,amazon,1299.0,259.8,-400.0,2026-05-15 06:45:36
EDF-600,amazon,1571.0,261833.33,99.4,2026-05-15 06:45:36
EDS-150,amazon,198.0,132.0,-50.0,2026-05-15 06:45:36
EDS-S-240,amazon,337.0,140.42,-139.99,2026-05-15 06:45:36
EDS-S-480,amazon,679.0,141.46,-379.99,2026-05-15 06:45:36
EDS-S-960,amazon,1158.0,120.63,-859.96,2026-05-15 06:45:36
EDS-400,amazon,474.0,118.5,-300.0,2026-05-15 06:45:36
EDS-800,amazon,939.0,117.38,-699.97,2026-05-15 06:45:36
WI-900,amazon,4369.0,481.7,-807.0,2026-05-15 06:45:36
EDP-400,amazon,1249.0,312.25,-300.0,2026-05-15 06:45:36
EDP-900,amazon,2249.0,249.89,-800.0,2026-05-15 06:45:36
EDPP-400,amazon,999.0,111.0,-800.0,2026-05-15 06:45:36
EDPP-900,amazon,1997.0,221.89,-800.0,2026-05-15 06:45:36
ACLC-200,amazon,1449.0,724.5,-100.0,2026-05-15 06:45:36
ACBL-200,amazon,1449.0,724.5,-100.0,2026-05-15 06:45:36
ACMC-200,amazon,1449.0,724.5,-100.0,2026-05-15 06:45:36
ACU-200,amazon,1446.0,723.0,-100.0,2026-05-15 06:45:36
ACLC-S-60,amazon,449.0,748.33,40.0,2026-05-15 06:45:36
ACBL-S-60,amazon,449.0,224.5,-100.0,2026-05-15 06:45:36
ACMC-S-60,amazon,448.0,746.67,40.0,2026-05-15 06:45:36
ACU-S-60,amazon,445.0,222.5,-100.0,2026-05-15 06:45:36
PRO-KB-907,amazon,3099.0,341.68,-806.99,2026-05-15 06:45:36
PRO-RM-907,amazon,3099.0,341.68,-806.99,2026-05-15 06:45:36
PRO-CC-907,amazon,3099.0,341.68,-806.99,2026-05-15 06:45:36
PRO-MG-907,amazon,3099.0,341.68,-806.99,2026-05-15 06:45:36
PRO-SB-907,amazon,3099.0,341.68,-806.99,2026-05-15 06:45:36
PRO-CM-907,amazon,3039.0,335.06,-807.0,2026-05-15 06:45:36
PRO-BN-907,amazon,3099.0,341.68,-806.99,2026-05-15 06:45:36
PRO-KB-S-216,amazon,3099.0,341.68,-806.99,2026-05-15 06:45:36
PRO-RM-S-216,amazon,3099.0,341.68,-806.99,2026-05-15 06:45:36
PRO-CC-S-216,amazon,3099.0,341.68,-806.99,2026-05-15 06:45:36
PRO-MG-S-216,amazon,3099.0,341.68,-806.99,2026-05-15 06:45:36
PRO-SB-S-216,amazon,3099.0,341.68,-806.99,2026-05-15 06:45:36
PRO-CM-S-216,amazon,3039.0,335.06,-807.0,2026-05-15 06:45:36
CREATINE-100,amazon,296.0,296.0,0.0,2026-05-15 06:45:36
EDS-150,flipkart,,,,2026-05-15 06:45:36
